,2-aminoadipate,3-phosphoglycerate,alpha-glycerophosphate,4-pyridoxate,aconitate,adenine,adipate,alpha-ketoglutarate,AMP,citrate,isocitrate,CMP,cystathionine,cytidine,dCMP,DHAP/glyceraldehyde 3P,erythrose-4-phosphate,F1P/F6P/G1P/G6P,hexoses (HILIC neg),fumarate/maleate/alpha-ketoisovalerate,glucuronate,glutathione oxidized,glutathione reduced,GMP,guanosine,hippurate,hypoxanthine,inosine,kynurenine,lactate,lactose,malate,NAD,NADP,oxalate,pantothenate,PEP,ribose-5-P/ribulose5-P,sorbitol,succinate/methylmalonate,sucrose,thymine,UMP,UDP-galactose/UDP-glucose,uracil,urate,uridine,xanthine,taurocholate,glycodeoxycholate/glycochenodeoxycholate,taurodeoxycholate/taurochenodeoxycholate,phosphocreatine,3-methyladipate/pimelate,6-phosphogluconate,alpha-hydroxybutyrate,2-hydroxyglutarate,inositol,malondialdehyde,glycine,alanine,serine,threonine,methionine,aspartate,glutamate,asparagine,glutamine,histidine,arginine,lysine,valine,leucine,isoleucine,phenylalanine,tyrosine,tryptophan,proline,cis/trans-hydroxyproline,ornithine,citrulline,taurine,5-HIAA,serotonin,GABA,acetylglycine,dimethylglycine,homocysteine,SDMA/ADMA,NMMA,allantoin,anthranilic acid,kynurenic acid,5-adenosylhomocysteine,carnosine,N-carbamoyl-beta-alanine,thiamine,niacinamide,betaine,choline,alpha-glycerophosphocholine,acetylcholine,creatine,creatinine,thyroxine,trimethylamine-N-oxide,hexoses (HILIC pos),adenosine,thymidine,xanthosine,2-deoxyadenosine,2-deoxycytidine,cAMP,cotinine,pipecolic acid,pyroglutamic acid,1-methylnicotinamide,butyrobetaine,putrescine,methionine sulfoxide,carnitine,acetylcarnitine,propionylcarnitine,malonylcarnitine,butyrylcarnitine/isobutyrylcarnitine,valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine,hexanoylcarnitine,heptanoylcarnitine,lauroylcarnitine,myristoylcarnitine,palmitoylcarnitine,stearoylcarnitine,oleylcarnitine,arachidonyl_carnitine,sarcosine,beta-alanine,anserine,C14:0 LPC,C16:1 LPC,C16:0 LPC,C18:2 LPC,C18:1 LPC,C18:0 LPC,C20:4 LPC,C20:3 LPC,C22:6 LPC,C16:0 LPE,C18:1 LPE,C18:0 LPE,C20:4 LPE,C22:6 LPE,C32:2 PC,C32:1 PC,C32:0 PC,C34:4 PC,C34:3 PC,C34:2 PC,C34:1 PC,C36:4 PC-A,C36:4 PC-B,C36:3 PC,C36:2 PC,C36:1 PC,C38:6 PC,C38:5 PC,C38:4 PC,C38:2 PC,C40:6 PC,C14:0 SM,C16:1 SM,C16:0 SM,C18:2 SM,C18:1 SM,C18:0 SM,C22:1 SM,C22:0 SM,C24:1 SM,C24:0 SM,C34:2 DAG,C34:1 DAG,C36:2 DAG,C36:1 DAG,C14:0 CE,C16:1 CE,C16:0 CE,C18:3 CE,C18:2 CE,C18:1 CE,C18:0 CE,C20:5 CE,C20:4 CE,C20:3 CE,C22:6 CE,C46:2 TAG,C46:1 TAG,C46:0 TAG,C48:3 TAG,C48:2 TAG,C48:1 TAG,C48:0 TAG,C50:3 TAG,C50:2 TAG,C50:1 TAG,C50:0 TAG,C52:5 TAG,C52:4 TAG,C52:3 TAG,C52:2 TAG,C52:1 TAG,C54:7 TAG,C54:6 TAG,C54:5 TAG,C54:4 TAG,C54:3 TAG,C54:2 TAG,C54:1 TAG,C56:8 TAG,C56:7 TAG,C56:6 TAG,C56:5 TAG,C56:4 TAG,C56:3 TAG,C56:2 TAG,C58:8 TAG,C58:7 TAG,C58:6 TAG
SIDM00341,5.84121,5.80546,5.91126,6.23784,5.85225,5.62037,5.97425,5.75492,5.62444,5.71963,5.86423,5.59528,5.19953,5.95101,5.48841,6.02062,5.71071,5.53545,5.9363,5.66867,6.0196,5.81144,5.64456,5.79089,5.92517,6.15187,5.89592,5.93365,5.92866,6.12414,5.77585,5.65153,5.77189,5.95472,5.82752,5.80002,5.87495,5.7065,6.12164,6.01397,5.74367,6.16327,5.64407,5.61442,5.97632,6.12605,5.92348,6.07836,6.1574,6.13687,6.34843,5.57911,5.85699,5.96545,5.86124,6.20092,5.86963,6.07451,5.70965,5.70244,5.85238,5.69402,5.89438,5.69902,5.72568,6.17154,5.67304,5.83362,6.12759,5.85055,5.79745,5.89406,5.88981,5.84249,5.8011,5.84568,5.93107,6.22512,6.29481,6.09836,6.00205,5.72067,6.04959,5.77888,5.84269,6.02308,5.63241,6.0343,5.95785,6.11449,6.39466,6.07987,5.65786,6.1077,6.52138,5.78612,5.79396,5.88507,6.04547,5.53668,5.85735,5.86836,6.00171,6.0357,5.75168,6.0227,6.01765,6.08349,6.02203,5.90411,6.13139,5.77964,5.8863,5.60123,5.95033,6.29194,5.81142,5.9082,5.90779,5.92729,5.98313,5.95356,6.11904,5.9245,6.43616,6.2439,6.08822,6.49676,6.62525,6.70339,6.82386,6.74398,5.94923,5.91631,5.93498,6.04875,6.0748,6.00494,6.14922,5.9748,5.99193,6.27442,5.93708,6.14462,5.8324,5.8692,5.80466,5.89084,5.81108,6.1011,5.89462,5.83755,5.87119,5.97481,6.00205,5.83186,5.79949,6.03678,6.04225,5.90072,5.73148,5.78193,6.04077,6.09416,5.94373,5.67266,6.07436,5.9485,5.95954,5.86092,5.60718,5.88692,5.87571,5.94404,5.72545,5.80522,5.87044,5.37908,5.58414,5.63476,5.69592,6.03343,6.08747,5.99797,6.14916,6.14431,6.07534,6.06467,6.1978,6.1434,6.32048,6.2506,5.80748,5.62845,5.79583,5.73881,5.56156,5.42545,5.66651,5.61993,5.45129,5.49293,5.58588,5.87821,5.69917,5.49103,5.46381,5.49017,5.90871,5.85465,5.86076,5.74064,5.48043,5.38699,5.59426,5.82037,5.90331,5.89941,5.90804,5.69232,5.43163,5.43651,5.88963,5.84396,5.87067
SIDM00344,5.86946,6.29007,5.88529,5.96043,6.10349,5.67747,5.72098,5.95215,5.92811,6.1127,6.07392,5.84585,5.8874,5.49085,5.6613,6.03167,6.04556,5.93557,5.4855,5.81174,5.88848,6.09576,6.0568,6.17779,6.32767,5.83997,5.28332,5.86927,6.3074,6.0578,5.88605,5.84338,6.22998,6.35991,5.61518,5.65079,6.30701,5.91913,5.75848,5.72461,5.78239,6.03527,5.91582,6.09097,5.76494,5.81474,5.92757,5.84301,5.86763,5.83317,5.69279,6.45077,5.68519,5.99932,5.76484,5.78986,6.01947,6.00826,6.02314,6.37435,5.43661,5.87707,5.83515,5.88929,5.74858,6.23947,5.17919,5.81034,5.87691,5.6527,5.75292,5.78533,5.81836,5.83386,5.9229,5.77571,6.20364,6.31253,5.85565,5.93094,6.20883,5.95307,5.89052,5.99612,5.95822,5.86699,6.24097,6.04794,6.197,5.87595,6.17764,5.79347,6.17279,5.85156,6.56616,5.82163,5.83042,5.92925,5.37412,6.26587,5.75393,6.00981,5.98288,5.80755,5.55745,5.63545,6.29915,6.1089,5.89715,6.63993,5.5005,6.27988,5.77273,6.07126,5.85106,5.20467,6.24133,5.99937,5.91215,6.02113,6.23774,6.36122,6.14586,6.08332,6.29114,5.96105,5.82105,5.80398,5.8304,5.52552,5.44379,5.7371,5.64547,6.31714,6.38678,5.83164,5.73479,5.85591,5.68653,5.74885,5.84545,5.66576,5.81251,5.59566,5.67638,5.6698,5.83827,5.87479,5.67311,5.4739,6.06239,5.86689,5.78761,5.85252,5.90738,5.9688,5.82146,5.52178,5.58224,5.73864,5.9699,5.80968,5.41149,5.52963,5.76089,6.03824,5.56914,5.96051,5.90687,5.87886,5.81918,5.70534,5.58621,5.76276,6.01515,5.87292,5.87586,5.90325,6.13833,6.23484,5.9663,5.76684,5.57298,5.61277,5.54771,5.4894,5.67989,5.73009,5.60332,5.55647,5.55451,5.53148,6.32746,6.22204,5.93302,6.50032,6.45196,6.21235,5.89836,6.43722,6.41784,6.13288,5.92698,5.98998,6.15276,6.38976,6.32495,6.06244,5.87487,5.83097,5.89893,6.15205,6.42312,6.36153,6.14021,5.54709,5.82981,5.71709,5.9285,6.22662,6.43162,6.37274,5.75375,5.78878,5.78311
SIDM00345,5.68339,6.27125,6.24504,5.79455,6.20824,5.83829,5.73614,6.06371,5.98362,6.17586,6.20552,5.96252,5.63211,5.53292,5.70413,6.09091,6.04332,6.08698,5.52115,5.97655,5.82373,6.19773,6.15239,6.03864,6.04987,5.76051,5.03868,5.73019,6.08378,6.03904,5.87142,6.00157,6.2862,6.30438,5.65869,5.73115,6.21669,6.11519,5.85791,5.80666,5.70543,6.08378,5.91569,6.2514,5.85091,5.76013,5.91104,5.75537,6.05476,5.77618,6.37172,6.1543,5.74887,6.1815,5.6689,6.23318,6.1158,6.03139,5.87807,6.29876,5.50533,5.57656,5.70691,5.96932,5.93816,6.5325,5.24264,5.61035,6.0368,5.35946,5.45388,5.75309,5.82621,5.52401,5.70477,5.49201,6.24426,6.53189,5.92324,5.89625,6.19687,5.71027,5.59771,6.22194,5.86478,5.86195,6.31765,5.92262,5.97359,5.77561,6.12359,5.73759,6.12417,5.70884,6.18252,5.79902,5.55296,5.88446,5.45036,6.06396,5.7393,6.11706,5.89411,5.78868,5.60065,5.60585,6.07592,5.83119,5.80191,6.05439,5.52068,6.15038,5.80698,5.40477,5.87758,7.07697,6.23612,6.20008,5.92983,6.12771,6.27762,6.22377,6.16678,6.01911,6.64131,5.98289,5.87509,5.98244,5.82062,5.69393,5.87184,5.89614,5.69965,6.12877,6.4784,5.77696,5.74787,5.6454,5.68707,5.68656,5.8482,5.66831,5.79399,5.6407,5.65845,5.70891,5.83118,6.09661,5.77185,5.31325,5.93987,5.85517,5.8242,5.65167,5.70504,5.92798,5.87519,5.55857,5.55326,5.75287,6.0227,5.96605,5.45824,5.53114,5.74246,6.16905,5.51401,5.95362,5.96153,5.89167,5.67159,5.76596,5.67112,5.81695,6.07597,6.0681,6.10956,5.99458,6.25626,6.27492,6.15815,5.83154,5.69901,5.74878,5.71047,5.63682,5.79467,5.93651,5.69234,5.6962,5.5993,5.65875,5.90723,5.96417,5.91677,5.90683,6.05758,6.02994,5.90602,5.97018,6.16593,6.07073,5.96041,5.65631,5.7159,6.11389,6.18677,6.10434,5.70611,5.5784,5.53054,5.83272,6.24229,6.31773,6.21646,5.3561,5.53114,5.45635,5.51934,5.9227,6.31902,6.39085,5.49647,5.50627,5.53727
SIDM00354,5.81281,5.58111,5.57108,5.97742,5.70793,5.63943,5.90465,5.56368,5.51224,5.68374,5.72866,5.76666,5.14199,6.12108,5.71163,5.56983,5.5324,5.46724,6.21834,5.54374,5.79883,5.57938,5.51947,5.72108,5.7659,6.09417,6.54038,6.01225,6.08444,5.78954,6.595,5.54087,5.37001,5.75164,5.7817,5.39849,5.51884,5.48915,6.05363,6.10125,6.38474,6.4364,5.54432,5.4265,6.31565,6.02954,6.72788,6.19604,6.28406,6.0703,6.46773,5.33202,5.97252,5.55739,5.77376,5.77142,5.67086,5.74709,5.84192,5.66532,6.42203,5.92488,6.08839,5.91786,5.51834,6.14511,5.83942,6.20323,6.26818,6.20932,6.06095,6.12999,6.11406,6.12219,6.10257,5.98741,5.66413,5.88829,6.31279,6.02933,5.46995,5.74033,5.6027,5.3914,5.61979,6.00493,5.5293,6.04159,6.01604,6.08068,6.52586,6.29029,5.46645,6.04444,5.66835,5.9227,6.11318,5.81689,6.08084,5.89759,5.4347,5.61365,5.97064,6.10212,5.77343,6.1924,5.60213,6.28131,6.02407,5.4368,5.64614,5.87575,5.70505,5.74402,6.09541,6.23542,5.44694,5.39232,6.11596,5.50072,5.46472,5.61883,5.69336,5.38155,5.90333,6.01932,6.16848,6.31105,6.64478,6.91991,6.92333,7.12166,5.69651,5.81343,5.53062,5.97825,6.08455,6.22917,6.35037,6.20867,6.24415,6.49,6.19157,6.35391,6.12412,5.7063,5.69668,5.8263,6.00965,6.17315,5.55162,5.49673,5.64604,5.75054,5.74747,5.63474,5.65876,5.74569,5.76029,5.70607,5.62994,5.64551,5.71301,5.83681,5.81178,5.53897,5.83914,5.75237,5.77083,5.65582,5.53599,5.75274,5.67212,5.73118,5.68735,5.62652,5.70183,5.65019,5.41135,5.67955,5.53697,5.71565,5.89846,5.96297,5.92378,5.99849,5.93041,5.81468,5.98614,6.03046,5.95223,5.91034,5.95993,5.75818,5.6118,6.12262,5.82585,5.48845,5.41305,5.95911,5.66958,5.48154,5.40568,6.08472,6.03685,5.79688,5.62353,5.5464,6.14743,6.06201,6.12668,6.00184,5.79298,5.67649,5.68294,5.87693,6.07699,6.1661,6.15539,6.01858,5.80167,5.72198,6.26645,6.20836,6.20998
SIDM00355,6.19944,5.9304,5.64772,5.95584,5.96084,5.92648,5.79301,5.93563,5.83034,5.94521,5.94851,5.8431,6.0221,5.82533,5.77836,5.70813,5.90856,5.8397,5.80517,5.88758,5.88579,6.02734,6.02132,5.89264,5.90424,5.90593,5.59761,5.83273,6.0791,5.75426,5.87627,5.87265,5.90366,6.1081,5.79516,5.95161,5.86935,5.69848,5.87959,5.82063,5.93668,5.94288,5.83053,5.91916,5.69911,5.98565,5.97247,5.88027,5.65687,5.84345,4.56262,6.04562,5.85597,5.81882,5.81182,5.7833,5.90476,5.80286,5.84217,6.03306,5.68404,6.26009,5.9367,6.10357,5.95354,5.69876,5.97924,6.09086,5.85732,6.19795,6.20882,5.91721,5.85352,6.19534,6.13578,6.12346,5.87491,5.43222,5.81137,5.8763,5.95964,6.01016,6.28334,5.98117,5.7237,5.91779,6.20978,5.87497,5.91511,5.85921,6.14635,5.92325,6.06046,5.92046,6.47089,5.97148,5.76431,5.86474,5.77855,5.79516,5.51957,5.86945,5.91997,5.87182,5.80378,5.84575,5.91786,6.11017,5.79221,5.91313,6.03405,6.00554,5.78528,6.39296,5.93818,6.94969,6.05188,5.91867,5.7288,6.11523,6.1417,6.32145,6.11401,6.15582,6.27263,5.91777,5.77294,6.10688,6.13705,5.99211,6.03284,6.04444,5.79004,5.97874,6.02878,5.92336,5.8806,5.89696,5.95206,5.88129,5.9117,6.00916,5.87113,5.95379,5.90501,6.05761,5.91674,6.06901,5.81948,5.93627,5.76904,5.82715,6.00036,5.76667,5.80672,5.83435,5.87436,5.7519,5.77397,5.78482,5.85332,5.95686,5.80245,5.77202,5.76179,5.92673,5.70807,5.92586,5.90447,5.91585,5.91169,5.8699,6.01708,5.82368,5.87631,5.97508,6.01048,5.78712,5.97137,5.84086,5.9792,6.13225,6.01379,6.03703,6.03551,5.97374,6.07433,6.23093,6.04209,6.00749,6.14647,6.18355,5.83267,5.89999,6.15671,5.70038,5.73504,6.02627,6.26912,5.66832,5.84005,6.0963,6.34406,5.66148,5.648,5.69415,5.88874,6.08033,5.71703,5.68623,5.6756,5.56789,5.70315,5.88821,6.1811,5.67181,5.71597,5.6727,5.54857,5.56833,5.68445,5.93793,5.56359,5.47838,5.50663
SIDM00356,5.94136,6.01947,5.73031,6.24951,5.94795,5.67759,5.87176,5.84407,5.74276,5.94751,5.93085,5.70057,5.67372,5.79756,5.55686,6.07073,5.89064,5.9251,6.01616,5.87815,6.01713,6.13658,5.9661,5.89277,5.99094,6.0627,5.86896,5.89939,5.63848,6.02046,6.03733,5.91974,5.94946,6.10333,5.81779,5.81885,6.03537,5.98413,5.97482,5.95958,5.9064,6.15648,5.77022,5.84445,6.08141,5.9513,6.04224,6.02889,6.01573,6.01452,6.2112,5.82931,5.88224,6.33446,5.77897,5.82453,5.68306,5.96949,5.91486,5.85352,6.12509,5.91751,5.98104,6.04145,5.73599,6.0821,6.06264,5.89891,6.0826,6.01951,5.98006,5.9387,5.88075,5.99418,5.9418,5.97121,5.91329,5.93562,6.14822,6.04415,5.85742,5.85616,5.9721,6.01379,5.90583,5.97035,5.8797,5.96072,5.96995,5.99687,6.16414,5.94721,5.8223,6.03121,5.99414,5.97292,6.01021,5.9218,5.96076,5.67079,5.54924,5.69251,5.96515,5.94732,5.76707,6.03095,6.28073,6.02306,5.99128,6.18256,5.785,5.99372,5.92329,5.85023,6.02904,5.81337,5.88652,5.9719,5.98567,5.93356,5.90645,6.1213,6.07065,5.9552,6.43921,6.11376,5.98004,6.19661,6.11573,5.89034,5.92051,5.81283,5.89403,5.92418,5.85338,5.95322,6.10301,6.05029,6.27831,5.96628,6.02089,6.25286,5.92874,6.13934,5.86025,6.28557,6.08785,6.25071,5.81497,6.07896,5.83959,5.89568,5.9254,5.76784,5.89132,5.79185,5.84327,5.83741,5.77656,5.7861,5.72876,5.84297,5.72704,5.73068,5.68291,5.67311,5.76562,5.87136,5.8234,5.82878,5.85044,5.80267,5.75419,5.77232,5.72522,5.77875,6.01303,5.51795,5.84877,5.6093,5.85868,5.93921,5.87265,5.93699,5.95746,5.87663,5.82176,5.98497,5.88892,5.89854,5.90228,5.85776,6.14397,6.19037,6.32474,5.99013,5.91196,6.13729,6.42965,5.73025,5.78399,6.04035,6.345,5.71071,5.58289,5.52808,5.67363,5.94078,5.668,5.66514,5.59376,5.37437,5.37869,5.5765,5.90288,5.52183,5.53711,5.59321,5.42441,5.30511,5.3242,5.61888,5.25905,5.19864,5.315
SIDM00365,5.85502,5.81067,5.65796,5.81168,5.57431,5.96124,5.79112,5.82326,6.21412,5.5927,5.58905,6.22067,6.38492,5.99825,6.03522,5.7148,5.76157,5.58931,5.33912,5.91247,5.54585,5.61122,5.78082,6.10377,5.94947,5.51311,5.84188,5.88444,5.65864,5.56222,5.49205,5.85272,5.75875,5.94324,5.98461,5.80984,5.75599,5.6633,5.37762,5.6409,5.87325,5.89998,6.24357,5.67075,5.50411,5.28284,5.9574,5.33808,5.60335,5.67815,5.04816,5.65526,5.89046,5.60369,5.81593,6.04034,5.82707,5.82917,5.90358,6.04801,5.85199,5.9284,5.62502,5.99652,5.91115,5.9525,5.85084,5.66299,5.76747,5.63109,5.80103,5.62552,5.63029,5.69712,5.69517,5.74337,5.91586,5.8804,5.73822,5.60103,5.82396,5.91043,5.87399,6.35188,5.73932,5.64165,5.73781,5.57948,5.5597,5.57223,5.89612,5.38926,6.17846,5.53419,6.17753,5.77076,5.80246,5.87319,5.79977,5.89351,6.04138,5.91267,5.65955,5.79571,5.98322,5.61878,5.74289,6.22699,5.56855,6.37042,6.37033,6.11884,5.80612,6.27528,5.66648,5.51318,5.94324,6.00715,5.68022,5.94273,5.89984,6.01967,5.9352,6.1845,6.21014,5.97646,6.00098,6.08578,6.28418,6.15182,6.06312,6.14975,6.0068,6.03099,5.89475,5.74799,5.93605,5.84013,5.73809,5.86118,5.63628,5.81165,5.68566,5.89384,5.84829,5.9271,5.81977,5.98468,5.97883,5.87633,5.84138,5.95257,5.96393,5.87369,5.82198,5.80577,5.87438,5.73481,5.77877,5.67924,5.77369,5.86497,5.80641,5.73717,5.80531,5.7598,5.79931,5.74007,5.76996,5.81317,5.98694,5.90687,5.84924,5.71348,5.74701,5.63271,5.83,6.33142,6.24937,6.1436,6.15593,5.96795,5.70078,5.68351,5.75009,5.60806,5.64087,5.83725,5.69629,5.59782,5.74952,5.62297,6.16041,6.31919,6.2789,6.10739,6.14048,6.31027,6.36965,6.01196,6.07309,6.21348,6.34841,5.94733,5.9196,5.88852,5.96866,6.09288,5.84641,5.93933,5.86644,5.79207,5.79174,5.95374,6.2089,5.84582,5.91859,5.90721,5.80662,5.82534,5.77413,6.06778,5.79426,5.68781,5.68708
SIDM00367,6.02101,5.93084,5.84534,5.83864,5.72228,5.90699,5.86773,5.90304,5.90189,5.70797,5.72297,5.94255,6.13706,5.68915,5.91215,5.93455,5.85926,5.74233,5.68497,5.9078,5.75862,5.56297,5.59324,5.82141,5.80618,5.75489,5.80824,5.78168,5.74108,5.68694,5.72277,5.84089,5.64664,5.68231,5.93407,5.83167,6.03362,5.81552,5.67107,5.80186,5.96387,5.89158,5.87688,5.64472,5.70189,5.71672,5.53073,5.70405,5.86575,5.87011,4.99008,5.97402,5.9554,5.66353,5.79895,5.87486,5.91279,5.89658,6.00881,5.99229,5.862,5.9341,5.75585,5.90916,5.8617,5.99619,5.82346,5.8645,5.88243,5.79071,5.82275,5.72062,5.65542,5.8123,5.78002,5.81215,5.97755,5.95413,5.94832,5.93698,5.64995,5.9651,5.87894,6.00133,5.88423,5.85574,5.7621,5.77643,5.70971,5.74472,6.02153,5.79825,5.93451,5.69591,5.96927,5.71544,5.70108,5.92993,5.84119,5.69941,5.13505,5.9113,5.80291,5.85599,5.99591,5.78631,5.35234,6.0714,5.73388,6.25074,6.11948,5.9813,5.75426,6.10498,5.66342,4.99022,5.87537,5.894,5.87916,5.82914,5.88345,5.93549,5.93595,6.0451,5.97315,5.88956,5.91789,5.88348,5.90011,5.86215,5.9103,5.76045,5.95224,6.02867,5.71925,5.84819,6.03064,5.94809,5.96068,5.99206,5.88672,5.98482,5.89221,6.00574,5.95103,6.02314,5.91519,5.99155,5.92903,5.8879,5.87597,5.86977,5.75882,5.92323,5.88562,5.84269,5.83222,5.84175,5.83549,5.78826,5.8132,5.77729,5.83939,5.82955,5.82802,5.66859,5.78239,5.77769,5.81284,5.71861,5.8882,5.881,5.78083,5.79062,5.80035,5.60164,5.66196,6.11086,6.0483,5.96638,5.98039,6.19555,5.9817,5.93728,5.93351,5.86979,5.98135,6.12616,5.94294,5.85598,6.0387,6.053,6.12725,6.1734,6.18853,6.03501,6.09642,6.12966,6.23479,6.02969,6.04319,6.13639,6.2439,5.98612,5.97387,5.96503,5.97618,6.07414,5.94011,5.95206,5.89398,5.86786,5.88948,5.91044,6.07554,5.84879,5.87012,5.94061,5.84058,5.83672,5.79948,5.92549,5.85964,5.76532,5.76991
SIDM00368,6.03072,6.06311,6.35028,5.67316,6.00897,5.93915,5.51176,5.8459,6.4057,6.04539,6.03532,6.36276,6.5941,6.10049,5.95059,5.48174,5.8752,5.9248,5.30908,5.71955,5.60299,5.88619,6.00595,6.45112,5.93156,5.60855,5.6201,5.8915,6.09358,5.67759,5.59516,5.76516,6.11255,6.14691,5.52851,5.86317,6.22511,5.49602,5.74929,5.75654,5.65643,5.83231,6.32001,6.05419,5.56968,6.07157,5.97279,5.74785,5.42369,5.60664,3.52505,6.25201,5.68243,5.21213,5.86657,5.79574,6.24278,5.75801,6.29334,6.58896,5.15116,6.62087,5.98536,5.83637,5.78748,5.77304,5.16871,6.22965,5.52906,6.08469,6.27968,5.91603,5.98435,6.37748,6.40392,6.35155,6.22204,5.5268,5.55397,6.05409,6.05535,5.9269,6.35582,6.0454,5.74848,5.96616,6.38787,6.03735,6.11523,5.72485,5.44161,5.78578,6.43032,5.72807,6.17344,5.9599,5.74945,6.14812,5.53691,6.49168,5.54069,6.18612,5.88831,5.66194,5.73105,5.28889,5.37396,5.80114,5.70603,5.63043,5.54284,6.02073,5.31322,6.65015,5.65372,5.11156,6.62512,5.82864,5.72979,6.31801,6.75043,6.76227,6.52546,6.46025,6.36521,6.05152,5.95419,5.79536,5.83678,5.47975,5.39462,5.46955,5.53077,6.37748,6.18048,5.73077,6.13023,6.12114,6.10991,5.69568,6.01491,5.97689,5.91692,5.86074,5.66625,6.31654,6.18693,6.40467,5.98568,5.94153,6.0105,5.93904,6.05269,5.83704,5.8739,5.90662,5.83532,5.75098,5.68339,5.82161,5.8607,6.00474,5.62675,5.61404,5.67494,5.95925,5.53869,5.94125,5.94038,5.89253,5.93893,5.81366,5.87895,5.8569,5.88646,5.75382,5.86641,5.60214,6.06162,5.77188,6.0025,6.16471,5.73663,5.8668,5.53254,5.41646,5.90713,6.18093,5.53463,5.47853,5.65474,5.73143,6.16395,6.46208,6.41094,6.02508,6.27908,6.59344,6.65089,6.07028,6.37299,6.63909,6.65836,5.79581,5.87826,6.09361,6.40489,6.52338,5.84692,5.81,5.78478,5.816,6.08404,6.41107,6.54128,5.49614,5.76669,5.64512,5.58986,5.82986,6.08696,6.44538,5.51958,5.60553,5.58933
SIDM00486,6.20058,5.73722,5.62739,6.36931,5.75153,5.61071,6.00434,5.70964,5.59624,5.75275,5.77208,5.46544,5.42551,5.60032,5.62795,5.9748,5.81748,5.73801,5.84826,5.7445,5.96051,5.8486,5.82323,5.63565,5.83477,6.21895,6.29274,6.03089,6.24702,5.84975,5.91346,5.67591,5.8602,5.91908,5.8908,5.93866,5.76342,5.59817,6.07483,6.02166,5.92821,5.93788,5.48959,5.58521,5.81606,6.49632,5.83071,6.03832,5.12969,6.11616,3.84904,5.75846,5.90497,5.97673,6.04711,5.673,5.66957,5.88005,5.64593,5.86006,5.47537,6.32248,5.85848,5.56858,5.57537,5.16825,5.59799,6.22201,5.87483,6.29497,6.29029,5.84689,5.68721,6.18589,6.08531,6.11979,5.66972,5.19518,6.08349,6.02366,6.00595,6.24277,6.85536,5.82213,5.77798,5.94121,5.57178,5.95294,5.97161,5.99874,6.15692,6.02081,5.59005,6.13196,6.50159,5.9063,5.88407,5.97418,5.8849,6.95824,5.11634,5.7006,5.94295,5.92911,6.01617,6.00542,6.37744,6.16089,6.00795,6.29348,5.69414,5.96463,5.93153,6.49923,5.60781,5.8329,5.89184,5.74031,5.58456,5.85574,5.83401,5.92839,5.82969,5.81231,5.74116,5.81659,5.8161,5.5741,5.61593,5.68317,5.90864,5.67174,5.89091,5.91226,5.86652,5.94888,5.77776,5.84032,5.9856,6.19137,5.9366,6.28852,5.95558,6.19546,6.07979,5.55275,5.53962,5.65125,5.83813,5.89576,5.16318,5.5008,6.02836,5.57222,5.63967,5.61202,5.82277,5.87494,6.01494,5.98027,5.71289,6.05289,6.07762,6.14876,6.04409,5.77734,6.13962,5.73006,5.75776,5.85784,5.83175,5.80032,5.73544,5.86105,5.70976,5.71712,5.7892,5.7469,5.35406,5.41926,5.78689,5.7902,5.75795,5.92893,5.93806,5.85118,5.84488,5.98064,6.01235,5.92161,5.92358,5.94863,5.8063,5.70836,5.82674,5.84747,5.59988,5.76994,5.93095,5.77482,5.80075,5.97146,6.19446,6.26467,6.13989,5.88152,6.00655,6.28693,6.40856,6.3941,6.56652,6.29759,6.02573,6.30277,6.46665,6.01224,6.61602,6.53596,6.55166,6.41415,6.11871,6.32165,6.72108,6.74799,6.80658
